Minami-machida Grandberry Park Station	南町田グランベリーパーク駅（みなみまちだぐらんべりーぱーく）
Minami-Makigahara Station	南万騎が原駅（みなみまきがはら）
Minami-Matsumoto Station	南松本駅（みなみまつもと）
Minami-Miyazaki Station	南宮崎駅（みなみみやざき）
Minami-morimachi Station	南森町駅（みなみもりまち）
Minami-Moriya Station	南守谷駅（みなみもりや）
Minami-Nagai Station	南長井駅（みなみながい）
Minami-Nagaoka Station	南長岡駅（みなみながおか）
Minami-Nagareyama Station	南流山駅（みなみながれやま）
Minami-Nagayama Station	南永山駅（みなみながやま）
Minami-Nakagawa Station	南中川駅（みなみなかがわ）
Minami-Nakagō Station	南中郷駅（みなみなかごう）
Minamino Station	南野駅（みなみの）
Minami-Nobeoka Station	南延岡駅（みなみのべおか）
Minami-Nōgata Gotenguchi Station	南直方御殿口駅（みなみのおがたごてんぐち）
Minami-Ōdaka Station	南大高駅（みなみおおだか）
Minami-Onoda Station	南小野田駅（みなみおのだ）
Minami-Ōita Station	南大分駅（みなみおおいた）
Minami-Ōmachi Station	南大町駅（みなみおおまち）
Minami-Ōmine Station	南大嶺駅（みなみおおみね）
Minami-Ōsawa Station	南大沢駅（みなみおおさわ）
Minami-Ōta Station	南太田駅（みなみおおた）
Minami-Ōtsuka Station	南大塚駅（みなみおおつか）
Minami-Otari Station	南小谷駅（みなみおたり）
Minami-Otaru Station	南小樽駅（みなみおたる）
Minami-Pippu Station	南比布駅（みなみぴっぷ）
Minami-Rinkan Station	南林間駅（みなみりんかん）
Minami-Sagae Station	南寒河江駅（みなみさがえ）
Minamisakae Station	南栄駅（みなみさかえ）
Minami-Sakaide Station	南酒出駅（みなみさかいで）
Minami Sakurai Station (Aichi)	南桜井駅 (愛知県)（みなみさくらい）
Minami-Sakurai Station (Saitama)	南桜井駅 (埼玉県)（みなみさくらい）
Minami-Sendai Station	南仙台駅（みなみせんだい）
Minami-Senju Station	南千住駅（みなみせんじゅ）
Minami-Senri Station	南千里駅（みなみせんり）
Minami-Setaka Station	南瀬高駅（みなみせたか）
Minami-Settsu Station	南摂津駅（みなみせっつ）
Minami-Shari Station	南斜里駅（みなみしゃり）
Minami-Shiga Station	南滋賀駅（みなみしが）
Minami-Shimabara Station	南島原駅（みなみしまばら）
Minami-Shimizusawa Station	南清水沢駅（みなみしみずさわ）
Minami-Shimonuma Station	南下沼駅（みなみしもぬま）
Minami-Shimotoppu Station	南下徳富駅（みなみしもとっぷ）
Minami-Shinji Station	南宍道駅（みなみしんじ）
Minami-Shinjō Station	南新庄駅（みなみしんじょう）
Minami-Shinjuku Station	南新宿駅（みなみしんじゅく）
Minami-Shisui Station	南酒々井駅（みなみしすい）
Minami-Suita Station	南吹田駅（みなみすいた）
Minami-Sunamachi Station	南砂町駅（みなみすなまち）
Minami-Takada Station	南高田駅（みなみたかだ）
Minami-Takasaki Station	南高崎駅（みなみたかさき）
Minami-Tama Station	南多摩駅（みなみたま）
Minami-Tanabe Station	南田辺駅（みなみたなべ）
Minami-Tatsumi Station	南巽駅（みなみたつみ）
Minami-Teshikaga Station	南弟子屈駅（みなみてしかが）
Minami-Toyama Station	南富山駅（みなみとやま）
Minamitoyama-ekimae Station	南富山駅前駅（みなみとやまえきまえ）
Minami-Toyoshina Station	南豊科駅（みなみとよしな）
Minami-Uozaki Station	南魚崎駅（みなみうおざき）
Minami-Urawa Station	南浦和駅（みなみうらわ）
Minami-Utsunomiya Station	南宇都宮駅（みなみうつのみや）
Minami-Wakamatsu Station	南若松駅（みなみわかまつ）
Minami-Wakkanai Station	南稚内駅（みなみわっかない）
Minami Woody Town Station	南ウッディタウン駅（みなみうっでぃたうん）
Minami-Yashiro Station	南矢代駅（みなみやしろ）
Minami-Yokkaichi Station	南四日市駅（みなみよっかいち）
Minami-Yonezawa Station	南米沢駅（みなみよねざわ）
Minami-Yono Station	南与野駅（みなみよの）
Minami-Yoshida Station	南吉田駅（みなみよしだ）
Minami-Yufu Station	南由布駅（みなみゆふ）
Minami-Yukuhashi Station	南行橋駅（みなみゆくはし）
Minano Station	皆野駅（みなの）
Minara Station	見奈良駅（みなら）
